year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2021,21,210,Haas F1 Team,42,3,0.9074074074074074,0.03908480392674714
2021,21,213,AlphaTauri,42,5,0.8703703703703703,0.04529214034801075
2021,21,214,Alpine F1 Team,42,4,0.8888888888888888,0.04237611507758188
2021,22,1,McLaren,44,1,0.9464285714285714,0.029824495587636148
2021,22,3,Williams,44,5,0.875,0.0438047902531539
2021,22,6,Ferrari,44,1,0.9464285714285714,0.029824495587636148
2021,22,9,Red Bull,44,1,0.9464285714285714,0.029824495587636148
2021,22,51,Alfa Romeo,44,2,0.9285714285714286,0.03411192378149423
2021,22,117,Aston Martin,44,1,0.9464285714285714,0.029824495587636148
2021,22,131,Mercedes,44,1,0.9464285714285714,0.029824495587636148
2021,22,210,Haas F1 Team,44,3,0.9107142857142857,0.03776979567182353
2021,22,213,AlphaTauri,44,5,0.875,0.0438047902531539
2021,22,214,Alpine F1 Team,44,4,0.8928571428571429,0.04096709533402888
2022,1,1,McLaren,2,0,0.8571428571428572,0.09035079029052512
2022,1,3,Williams,2,0,0.8571428571428572,0.09035079029052512
2022,1,6,Ferrari,2,0,0.8571428571428572,0.09035079029052512
2022,1,9,Red Bull,2,2,0.7142857142857143,0.11664236870396086
2022,1,51,Alfa Romeo,2,0,0.8571428571428572,0.09035079029052512
2022,1,117,Aston Martin,2,0,0.8571428571428572,0.09035079029052512
2022,1,131,Mercedes,2,0,0.8571428571428572,0.09035079029052512
2022,1,210,Haas F1 Team,2,0,0.8571428571428572,0.09035079029052512
2022,1,213,AlphaTauri,2,1,0.7857142857142857,0.10594569267279517
2022,1,214,Alpine F1 Team,2,0,0.8571428571428572,0.09035079029052512
2022,2,1,McLaren,4,1,0.8125,0.09466465580576273
2022,2,3,Williams,4,0,0.875,0.08021111848996848
2022,2,6,Ferrari,4,0,0.875,0.08021111848996848
2022,2,9,Red Bull,4,2,0.75,0.10502100630210073
2022,2,51,Alfa Romeo,4,1,0.8125,0.09466465580576273
2022,2,117,Aston Martin,4,0,0.875,0.08021111848996848
2022,2,131,Mercedes,4,0,0.875,0.08021111848996848
2022,2,210,Haas F1 Team,4,0,0.875,0.08021111848996848
2022,2,213,AlphaTauri,4,2,0.75,0.10502100630210073
2022,2,214,Alpine F1 Team,4,1,0.8125,0.09466465580576273
2022,3,1,McLaren,6,1,0.8333333333333334,0.08549819600709618
2022,3,3,Williams,6,0,0.8888888888888888,0.07209840939145001
2022,3,6,Ferrari,6,0,0.8888888888888888,0.07209840939145001
2022,3,9,Red Bull,6,3,0.7222222222222222,0.10275604322108525
2022,3,51,Alfa Romeo,6,1,0.8333333333333334,0.08549819600709618
2022,3,117,Aston Martin,6,0,0.8888888888888888,0.07209840939145001
2022,3,131,Mercedes,6,0,0.8888888888888888,0.07209840939145001
2022,3,210,Haas F1 Team,6,0,0.8888888888888888,0.07209840939145001
2022,3,213,AlphaTauri,6,2,0.7777777777777778,0.09537723058655023
2022,3,214,Alpine F1 Team,6,1,0.8333333333333334,0.08549819600709618
2022,4,1,McLaren,8,1,0.85,0.07791937224739796
2022,4,3,Williams,8,0,0.9,0.06546536707079771
2022,4,6,Ferrari,8,0,0.9,0.06546536707079771
2022,4,9,Red Bull,8,3,0.75,0.0944911182523068
2022,4,51,Alfa Romeo,8,1,0.85,0.07791937224739796
2022,4,117,Aston Martin,8,0,0.9,0.06546536707079771
2022,4,131,Mercedes,8,0,0.9,0.06546536707079771
2022,4,210,Haas F1 Team,8,0,0.9,0.06546536707079771
2022,4,213,AlphaTauri,8,2,0.8,0.08728715609439697
2022,4,214,Alpine F1 Team,8,1,0.85,0.07791937224739796
2022,5,1,McLaren,10,1,0.8636363636363636,0.07155678652265483
2022,5,3,Williams,10,0,0.9090909090909091,0.059943679399617006
2022,5,6,Ferrari,10,0,0.9090909090909091,0.059943679399617006
2022,5,9,Red Bull,10,3,0.7727272727272727,0.08738217774479899
2022,5,51,Alfa Romeo,10,2,0.8181818181818181,0.08042288517539843
2022,5,117,Aston Martin,10,0,0.9090909090909091,0.059943679399617006
2022,5,131,Mercedes,10,0,0.9090909090909091,0.059943679399617006
2022,5,210,Haas F1 Team,10,1,0.8636363636363636,0.07155678652265483
2022,5,213,AlphaTauri,10,3,0.7727272727272727,0.08738217774479899
